HomeBet,KCO Value
44.9,1.993101671
45,1.992965877
45.1,1.992829385
45.2,1.992692193
45.3,1.992554299
45.4,1.992415701
45.5,1.992276397
45.6,1.992136385
45.7,1.991995663
45.8,1.991854229
45.9,1.991712081
46,1.991569217
46.1,1.991425636
46.2,1.991281334
46.3,1.99113631
46.4,1.990990562
46.5,1.990844088
46.6,1.990696885
46.7,1.990548952
46.8,1.990400286
46.9,1.990250886
47,1.990100749
47.1,1.989949872
47.2,1.989798255
47.3,1.989645894
47.4,1.989492788
47.5,1.989338934
47.6,1.989184329
47.7,1.989028973
47.8,1.988872862
47.9,1.988715994
48,1.988558367
48.1,1.988399978
48.2,1.988240826
48.3,1.988080908
48.4,1.987920221
48.5,1.987758764
48.6,1.987596533
48.7,1.987433527
48.8,1.987269743
48.9,1.987105179
49,1.986939831
49.1,1.986773699
49.2,1.986606779
49.3,1.986439068
49.4,1.986270565
49.5,1.986101267
49.6,1.985931171
49.7,1.985760274
49.8,1.985588575
49.9,1.98541607
50,1.985242757
