League,GoalsNetIncome,GoalsWin,GoalsMax,BetAmountGoals,GOalsProfitPercent,GoalsBets,GoalsWinPercent,xGNetIncome,xGWin,xGMax,BetAmountxG,xGProfitPercent,xGBets,xGWinPercent,RegNetIncome,RegWin,RegMax,BetAmountReg,RegProfitPercent,RegBets,RegWinPercent,RFNetIncome,RFWin,RFMax,BetAmountRF,RFProfitPercent,RFBets,RFWinPercent,KCOFilter
PL2018,-465.1623200424,8,84.64247699399999,1621.674728896,-0.2868407034739156,34,0.23529411764705882,-26.566505243700025,5,133.27018398799999,583.911619652,-0.04549747658649634,16,0.3125,2339.4060118102702,44,453.54780455,4762.746066357,0.49118848227818074,87,0.5057471264367817,2996.69276509141,45,627.24484271,3871.650675378,0.77400907683874,79,0.569620253164557,Greater than 2.02
PL2019,3.6254698300000356,8,65.62376895000001,761.426985353,0.004761414948170318,18,0.4444444444444444,180.06792791540005,9,311.167713255,969.450912399,0.18574218210781251,27,0.3333333333333333,3390.19284137935,46,406.13738888499995,4387.876278315,0.772627263474536,85,0.5411764705882353,2121.3127926769,41,399.86665619999997,4216.882854644,0.5030523412194685,94,0.43617021276595747,Greater than 2.02
SerieA2018,-319.13416510602,10,120.60605109,1464.28885218,-0.21794481644171523,29,0.3448275862068966,145.66892133090002,6,204.97388899,574.997096785,0.2533385336124015,16,0.375,1261.9020500971599,31,453.34987674,4272.451681108,0.29535782831133234,79,0.3924050632911392,911.51037504346,23,610.97392999,3328.714737341,0.27383252905942335,75,0.30666666666666664,Greater than 2.02
SerieA2019,-415.4449614212,6,63.219552964,1008.753571069,-0.4118398916605005,22,0.2727272727272727,-410.896513329,3,39.427816157500004,645.495311517,-0.636560027621794,18,0.16666666666666666,959.8433263889,28,636.3888226099999,3722.029593517,0.2578817019780678,72,0.3888888888888889,674.7045759136,23,346.61516267,2978.323798892,0.22653835562291935,67,0.34328358208955223,Greater than 2.02
Bunde2018,-305.51120940101003,9,154.54272848799997,1558.875947907,-0.19598173274223635,28,0.32142857142857145,-183.08775977724997,1,64.51969178200001,321.028428463,-0.5703163444241565,8,0.125,672.51832740721,20,252.13153463999998,3155.993962632,0.21309239984931744,47,0.425531914893617,1003.11634732926,17,384.77170015999997,1975.172779901,0.5078625817127443,43,0.3953488372093023,Greater than 2.03
Bunde2019,7610.583835299901,47,954.7052364400001,4845.247189001,1.5707317993138472,76,0.618421052631579,7667.2986415175,44,836.9708263299999,4208.355683605,1.8219226743090946,71,0.6197183098591549,7697.3724023955,45,685.0139373100001,4125.425960175,1.865837001246043,66,0.6818181818181818,7095.8424844317,41,859.8844806000001,3644.029085176,1.9472518793271332,63,0.6507936507936508,Greater than 2.03
LaLiga2018,-154.09526519111998,5,70.7580911272,812.647230771,-0.18962135026894994,17,0.29411764705882354,-391.925131513,2,87.35187357999999,583.213809348,-0.6720093475686902,16,0.125,1991.2659184117001,36,316.25381169,4185.232289224,0.4757838468222533,65,0.5538461538461539,1281.7258189288102,25,238.95054469299998,2746.080520756,0.4667473547264918,54,0.46296296296296297,Greater than 2.03
LaLiga2019,3282.97857714805,21,1304.09469679,3159.785142489,1.038987915033365,54,0.3888888888888889,980.4459289104001,14,536.63998173,2486.60361124,0.39429120285942115,54,0.25925925925925924,3243.07196695785,35,772.97574027,4434.744613326,0.7312871990898228,69,0.5072463768115942,2632.57904564575,28,640.33293301,3266.476856999,0.8059383736348804,64,0.4375,Greater than 2.03
Ligue12018,-128.84291234050997,7,168.0798928217,880.210953374,-0.1463773108555772,18,0.3888888888888889,-47.782964776,2,87.19087705000001,294.966481351,-0.16199455801603405,7,0.2857142857142857,2161.6238023971,28,740.8537797699998,3487.151820617,0.6198823319412095,58,0.4827586206896552,1502.8575681065902,24,384.87735297,2771.794403917,0.5421966239569594,52,0.46153846153846156,Greater than 2.03
Ligue12019,-121.00441427349998,9,280.937063605,2014.893482058,-0.06005499315522466,37,0.24324324324324326,250.89186318560002,4,133.93363403,365.806945019,0.6858586656209293,9,0.4444444444444444,1864.5440160931,26,301.356587405,3239.193541157,0.5756198240093762,50,0.52,936.7985493415501,17,342.50477991,2230.1527872359998,0.42006025537945174,42,0.40476190476190477,Greater than 2.03
PL2018,-480.3186333443,5,80.41382906380001,1198.036116262,-0.40092166406714447,24,0.20833333333333334,-264.4959049775,1,1.6917727024999962,320.42913089,-0.8254427562277373,8,0.125,2341.39994720507,39,453.54780455,4289.225839452,0.5458793812321646,75,0.52,2933.93888542301,37,627.24484271,3293.760055949,0.8907567143890455,64,0.578125,Greater than 2.03
PL2019,-34.511487210999974,4,65.62376895000001,463.506619972,-0.07445737714185136,10,0.4,209.05339307150004,5,311.167713255,630.3258355959999,0.33165924870242885,16,0.3125,3318.8117666689,41,406.13738888499995,3976.812727898,0.8345406217866096,74,0.5540540540540541,1653.9193472078,32,399.86665619999997,3462.810442762,0.47762341443345196,74,0.43243243243243246,Greater than 2.03
