League,Home,Away,HomePredGoal,AwayPredGoal,Week,HomePredxG,AwayPredxG,HomePredReg,AwayPredReg,HomePredRF,AwayPredRF,HomeWinProbGoal,AwayWinProbGoal,DrawProbGoal,HomeWinProbxG,AwayWinProbxG,DrawProbxG,HomeWinProbReg,AwayWinProbReg,DrawProbReg,HomeWinProbRF,AwayWinProbRF,DrawProbRF,HomeOdds,DrawOdds,AwayOdds,HomeGoals,AwayGoals,HomeWin,AwayWin,Draw
Bunde2019,Freiburg,Augsburg,1.849164289,1.2924959,23,1.551236969,1.216114199,1.851944273,0.623724101,1.9756,1.4508,0.493178929,0.265699644,0.227264356,0.445594299,0.297133487,0.250453415,0.656933377,0.118039208,0.213186444,0.482990069,0.279644525,0.217925761,3.5,4,1.95,5,1,1,0,0
Bunde2019,Hannover 96,Eint Frankfurt,0.616388096,1.831035858,23,1.008343217,2.112576334,1.040795429,2.453002719,0.894833333,2.098133333,0.11833959,0.654985866,0.215421651,0.170688397,0.606027975,0.20169866,0.141825873,0.644526327,0.173991284,0.149778298,0.630687867,0.198835962,2.5,3.25,2.87,0,3,0,1,0
Bunde2019,Mainz 05,Schalke 04,1.017529556,1.077079917,23,1.362990042,1.267205611,1.204250979,0.89010508,1.4678,1.375233333,0.334130115,0.36450576,0.299845302,0.38861907,0.344825605,0.261782938,0.431291672,0.271821111,0.295036618,0.391687817,0.351084348,0.25028546,1.66,3.8,5.25,3,0,1,0,0
Bunde2019,M'Gladbach,Wolfsburg,1.748878924,0.750365675,23,1.632756754,1.204950946,2.291165986,1.503262466,2.406666667,1.253233333,0.603372271,0.156473638,0.230917441,0.466865114,0.2805095,0.2444656,0.523869026,0.243782904,0.198475572,0.592717742,0.183772159,0.185640235,1.66,4,5,0,3,0,1,0
Bunde2019,RB Leipzig,Hoffenheim,2.453811659,1.151877133,23,2.400478958,1.134821526,2.013322571,0.968738186,1.9205,1.436033333,0.620337266,0.160865676,0.17861626,0.617746152,0.16336344,0.182096227,0.598941708,0.17394018,0.209573308,0.475852908,0.285255884,0.221460679,2.55,3.5,2.7,1,1,0,0,1
Bunde2019,Werder Bremen,Stuttgart,2.773746433,0.753955942,23,1.861846847,1.049547377,1.615391383,1.485745093,1.7321,1.320066667,0.730725221,0.074872535,0.131432128,0.551607173,0.210168392,0.225393841,0.402809962,0.34872467,0.237917942,0.463017696,0.290672314,0.235211095,2.62,3.5,2.6,1,1,0,0,1
Bunde2019,Augsburg,Dortmund,0.744506678,1.929584866,24,1.115427295,1.488369023,1.856820129,2.117135672,2.0035,2.260466667,0.136224495,0.639643219,0.209854122,0.283029844,0.453381799,0.258260162,0.334910134,0.426164794,0.206073032,0.33637192,0.421177694,0.198326899,2.1,3.5,3.4,2,1,1,0,0
Bunde2019,Eint Frankfurt,Hoffenheim,2.35107372,2.174516691,24,2.221118695,1.668877685,1.827834232,1.537683808,1.480733333,1.5393,0.403393036,0.348258941,0.192604352,0.479448232,0.284383721,0.20308346,0.436642228,0.321956189,0.225324846,0.36200342,0.386835587,0.241955303,3.3,3.6,2.15,3,2,1,0,0
Bunde2019,Hertha BSC,Mainz 05,1.74861108,0.896092043,24,1.977523606,1.051736646,1.510324315,0.368464022,1.793233333,0.582,0.56604681,0.190224313,0.234295592,0.572871405,0.195617002,0.214987684,0.657503065,0.087510694,0.250380192,0.657015792,0.114244258,0.218504455,5.5,4.33,1.53,2,1,1,0,0
Bunde2019,Leverkusen,Freiburg,1.675140026,1.051414664,24,2.066184509,1.049699877,2.016139768,1.2405787,2.3921,1.040033333,0.512078759,0.237118226,0.242565045,0.588755533,0.184358588,0.207065579,0.536278494,0.230127225,0.214701086,0.637702301,0.147482076,0.178915116,2.3,3.3,3.25,2,0,1,0,0
Bunde2019,M'Gladbach,Bayern Munich,1.571464206,1.379981746,24,1.125311454,1.843116917,2.190904236,4.09216447,2.462566667,2.723833333,0.414794225,0.332647859,0.244037002,0.229610372,0.530029637,0.227742535,0.144348323,0.485359935,0.121993624,0.328193818,0.398087051,0.17780688,1.44,4.5,6.5,1,5,0,1,0
Bunde2019,NÃ¼rnberg,RB Leipzig,0.5926665,1.3964101,24,0.729957466,1.526653917,1.037292626,1.533354209,0.8926,1.573133333,0.157701565,0.563346613,0.275753963,0.178094399,0.55873693,0.258212172,0.255728604,0.482645524,0.255966537,0.21317424,0.527681167,0.253237797,5.5,4.5,1.55,0,1,0,1,0
Bunde2019,Schalke 04,DÃ¼sseldorf,1.528197918,0.955831513,24,1.815719931,0.982995689,1.272548423,1.509933108,1.547466667,1.5921,0.501152305,0.235865693,0.257646626,0.558438975,0.201407239,0.228822905,0.318296199,0.423421287,0.251685862,0.366872674,0.385367275,0.23672431,3.75,3.6,2,0,4,0,1,0
Bunde2019,Stuttgart,Hannover 96,1.56248441,1.511408579,24,1.738524652,1.207676781,1.001024728,0.277060326,0.972733333,0.5707,0.385936937,0.364503736,0.239560642,0.489444031,0.263979382,0.236177845,0.536808341,0.101238879,0.361354952,0.440203779,0.209490333,0.349761365,2.4,3.4,3,5,1,1,0,0
Bunde2019,Wolfsburg,Werder Bremen,1.17553686,1.624913571,24,1.205274297,1.588679901,1.671449683,0.774567736,1.950333333,0.8974,0.274781047,0.471773205,0.245609708,0.288027687,0.456736161,0.247868696,0.580497976,0.17117424,0.24077454,0.605133021,0.166206237,0.213490248,2.15,3.4,3.4,1,1,0,0,1
Bunde2019,Bayern Munich,Wolfsburg,1.337372888,1.431126349,25,1.449427272,0.786111633,1.884183158,0.417828412,2.259266667,0.2522,0.349014044,0.390736743,0.254136291,0.524608226,0.20323626,0.268205189,0.718034313,0.073465674,0.195757599,0.807507109,0.030249806,0.134405445,1.2,7,13,6,0,1,0,0
Bunde2019,DÃ¼sseldorf,Eint Frankfurt,0.975820017,1.788907937,25,1.395262298,1.552580108,1.658608784,1.879388657,1.390266667,2.266,0.203327923,0.554719641,0.231341994,0.339722184,0.407294996,0.244605176,0.337857925,0.422366888,0.220131238,0.226079071,0.544040037,0.198689528,2.1,3.5,3.5,0,3,0,1,0
Bunde2019,Dortmund,Stuttgart,4.592094197,0.675809665,25,2.145477657,0.7086806,2.391596551,0.873785228,2.252733333,0.500666667,0.632200848,0.016097576,0.03877343,0.682914,0.109914558,0.184672903,0.674983326,0.118855541,0.170708425,0.746908577,0.067017503,0.158556016,1.66,4.2,4.75,3,1,1,0,0
Bunde2019,Freiburg,Hertha BSC,1.697434819,1.69946254,25,1.822011443,1.302647668,2.06494953,1.624086923,2.0232,1.958833333,0.37841237,0.379211849,0.226507293,0.485484645,0.272183428,0.229141361,0.462961945,0.300139291,0.211522351,0.391520606,0.368936968,0.207266907,2.87,3.4,2.45,2,1,1,0,0
Bunde2019,Hannover 96,Leverkusen,0.701114382,2.400118149,25,1.095092355,2.309318525,1.023062829,1.230567645,0.794366667,1.4551,0.089899591,0.715150201,0.159183021,0.165778816,0.614921535,0.187902821,0.305163206,0.40732695,0.285142189,0.204630823,0.523898581,0.267439229,2.2,3.4,3.25,2,3,0,1,0
Bunde2019,Hoffenheim,NÃ¼rnberg,2.804457527,0.493304916,25,2.899677303,0.843682749,2.042713037,1.924829732,2.3491,1.319233333,0.783490939,0.042236256,0.108760776,0.717982234,0.079389076,0.128258926,0.401050245,0.359582925,0.207464977,0.571006462,0.202418998,0.191563046,3.8,3.8,1.9,2,1,1,0,0
Bunde2019,Mainz 05,M'Gladbach,1.049621531,1.267143122,25,1.675613651,1.056477195,1.267711692,1.409610916,1.491433333,1.883566667,0.305625033,0.411317876,0.280330247,0.510974775,0.238255921,0.242502606,0.335899727,0.400147521,0.258679979,0.302852556,0.457106203,0.22304139,1.57,4.2,5.5,0,1,0,1,0
Bunde2019,RB Leipzig,Augsburg,2.665054668,0.516795626,25,2.024345426,0.771468377,1.958958504,1.352789033,1.4279,1.234033333,0.774273336,0.050096249,0.121649092,0.6490065,0.132589221,0.200796716,0.50101565,0.261837703,0.219349777,0.411925082,0.323955044,0.258880711,1.83,4,4,0,0,0,0,1
Bunde2019,Werder Bremen,Schalke 04,1.713835156,1.132975027,25,1.574886607,1.356268959,1.632355144,2.011231315,1.813033333,1.6501,0.501324361,0.250510942,0.238747499,0.420574062,0.326466228,0.24462178,0.310409115,0.451895682,0.214204405,0.41118683,0.347841195,0.223353354,1.72,3.8,4.5,4,2,1,0,0
Bunde2019,Augsburg,Hannover 96,2.904255319,1.19266055,26,2.160832313,1.024384257,1.895870219,1.233288655,2.1669,0.9647,0.64975326,0.126337081,0.147988616,0.609812345,0.168483215,0.197955239,0.515602919,0.245728486,0.22387961,0.624661399,0.156272785,0.195216339,15,6,1.2,3,1,1,0,0
Bunde2019,Bayern Munich,Mainz 05,2.713078849,0.655963303,26,2.523455518,0.465281074,2.0911184,0.455459698,2.6848,0.969866667,0.747829704,0.065350088,0.128972044,0.777800601,0.049324547,0.1292595,0.738806634,0.06836897,0.172734972,0.680981575,0.110969214,0.152052057,2.3,3.6,3,6,0,1,0,0
Bunde2019,Eint Frankfurt,NÃ¼rnberg,3.843867334,0.636085627,26,2.301359273,0.798338925,2.046057676,1.277844138,1.373466667,1.409466667,0.721387697,0.026242493,0.061358655,0.681850594,0.113320839,0.174602885,0.533215444,0.233672856,0.212815784,0.362078855,0.378060412,0.253645563,2.4,3.5,2.9,1,0,1,0,0
Bunde2019,Hertha BSC,Dortmund,0.772841051,1.431192661,26,1.014800618,1.51902463,1.539916226,2.447408352,1.622966667,2.285633333,0.202264557,0.523400296,0.270622429,0.252337055,0.484571538,0.257722897,0.229626135,0.537537511,0.189384908,0.266496938,0.498443993,0.199582554,1.3,6,8.5,2,3,0,1,0
Bunde2019,Leverkusen,Werder Bremen,1.301627034,1.351681957,26,1.811524834,1.141555519,2.014566519,2.006085919,2.2483,1.7641,0.355781566,0.37857063,0.260710042,0.519870492,0.237814803,0.230478444,0.381552369,0.378599917,0.206255325,0.464734107,0.297433326,0.201338545,1.44,4.75,6.5,1,3,0,1,0
Bunde2019,M'Gladbach,Freiburg,2.220901126,0.76529052,26,2.282516266,1.186285901,2.048755568,0.71728824,2.297433333,0.883666667,0.679493698,0.114050008,0.180396961,0.590892379,0.185669587,0.193017625,0.666423031,0.119677594,0.19541036,0.661557794,0.12864661,0.179655014,7.5,5,1.4,1,1,0,0,1
Bunde2019,Schalke 04,RB Leipzig,0.634543179,1.788990826,26,1.034606713,1.666033876,1.221141986,1.000594727,1.518633333,1.775333333,0.126175715,0.642068747,0.221608996,0.234456817,0.514080234,0.243471094,0.409872745,0.30059811,0.287297356,0.327031532,0.429990946,0.228548769,1.7,3.75,5.25,0,1,0,1,0
Bunde2019,Stuttgart,Hoffenheim,1.496871089,3.339449541,26,1.549355795,2.010473775,1.11680336,2.109297181,1.572433333,2.077,0.131801703,0.607366952,0.135040867,0.294123595,0.468677647,0.215148267,0.19272434,0.580317275,0.205095923,0.288213879,0.475561676,0.211259342,5.25,4,1.65,1,1,0,0,1
Bunde2019,Wolfsburg,DÃ¼sseldorf,1.659574468,1.252293578,26,1.38776654,1.186977334,1.653179205,1.28560369,1.883666667,1.4909,0.462239635,0.287202079,0.241557293,0.412186115,0.319511997,0.263817638,0.453450765,0.296074318,0.241345474,0.457236825,0.30272436,0.223043255,1.72,4,4.5,5,2,1,0,0
Bunde2019,DÃ¼sseldorf,M'Gladbach,0.93452949,1.60547428,27,1.341897015,1.199305957,1.633915612,1.809710528,1.402233333,1.974333333,0.218975517,0.52475932,0.249712087,0.397786437,0.331472554,0.266643515,0.345122781,0.413716644,0.223937934,0.269813831,0.493137035,0.218218689,1.18,7,17,3,1,1,0,0
Bunde2019,Dortmund,Wolfsburg,2.807024241,1.681925437,27,1.732901595,1.021691352,2.453074653,1.077538703,2.248261905,0.706066667,0.547090573,0.208861779,0.171208009,0.53181741,0.221650616,0.237140559,0.636470159,0.148106299,0.175626366,0.697105403,0.101453342,0.174072087,1.72,3.75,5,2,0,1,0,0
Bunde2019,Eint Frankfurt,Stuttgart,2.982248521,0.61160925,27,2.099739378,0.841089345,2.024471615,0.831146143,1.467866667,0.978933333,0.763615139,0.048503119,0.105703264,0.64390298,0.139088843,0.19633439,0.634260497,0.144569144,0.203485424,0.480626643,0.251357464,0.263466745,1.8,4.2,4,3,0,1,0,0
