Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
23,West Brom,Brighton,2,0,1.2,0.7
23,Newcastle Utd,Swansea City,1,1,1.3,1.3
23,Tottenham,Everton,4,0,3.5,0.3
23,Bournemouth,Arsenal,2,1,0.9,1.1
23,Liverpool,Manchester City,4,3,1.3,1.2
23,Manchester Utd,Stoke City,3,0,1.9,1.2
24,Brighton,Chelsea,0,4,1.5,1.5
24,Leicester City,Watford,2,0,2.1,0.7
24,Burnley,Manchester Utd,0,1,1.1,1
24,Arsenal,Crystal Palace,4,1,2.5,0.7
24,Everton,West Brom,1,1,0.6,1.4
24,Stoke City,Huddersfield,2,0,1.4,0.1
24,West Ham,Bournemouth,1,1,1,0.6
24,Manchester City,Newcastle Utd,3,1,2.2,0.6
24,Southampton,Tottenham,1,1,0.8,2.1
24,Swansea City,Liverpool,1,0,0.3,2.1
25,Swansea City,Arsenal,3,1,1.7,1
25,West Ham,Crystal Palace,1,1,1.4,0.4
25,Huddersfield,Liverpool,0,3,0.4,1.8
25,Everton,Leicester City,2,1,1.7,2
25,Chelsea,Bournemouth,0,3,1.3,1.3
25,Newcastle Utd,Burnley,1,1,2.3,0.8
25,Southampton,Brighton,1,1,1.3,1.1
25,Tottenham,Manchester Utd,2,0,2,1
25,Stoke City,Watford,0,0,1.4,0.8
25,Manchester City,West Brom,3,0,2.8,0.3
26,Burnley,Manchester City,1,1,0.8,2
26,Manchester Utd,Huddersfield,2,0,2.1,0.2
26,Leicester City,Swansea City,1,1,1.3,0.3
26,West Brom,Southampton,2,3,0.6,0.9
26,Brighton,West Ham,3,1,2.1,0.6
26,Bournemouth,Stoke City,2,1,1.7,0.6
26,Arsenal,Everton,5,1,2.7,1.2
26,Crystal Palace,Newcastle Utd,1,1,3.7,1
26,Liverpool,Tottenham,2,2,1.1,2.2
26,Watford,Chelsea,4,1,2,0.7
27,Tottenham,Arsenal,1,0,2,0.4
27,Everton,Crystal Palace,3,1,1.3,1.6
27,West Ham,Watford,2,0,1.4,0.6
27,Swansea City,Burnley,1,0,0.9,0.5
27,Stoke City,Brighton,1,1,1.5,1
27,Manchester City,Leicester City,5,1,2.1,0.2
27,Huddersfield,Bournemouth,4,1,2.1,0.5
27,Newcastle Utd,Manchester Utd,1,0,0.8,1.9
27,Southampton,Liverpool,0,2,0.5,2.4
27,Chelsea,West Brom,3,0,2.1,0.7
28,Leicester City,Stoke City,1,1,0.9,0.2
28,West Brom,Huddersfield,1,2,1.5,1.4
28,Liverpool,West Ham,4,1,3.7,0.3
28,Brighton,Swansea City,4,1,2.7,0.5
28,Burnley,Southampton,1,1,1.2,1
28,Bournemouth,Newcastle Utd,2,2,1.5,2.9
28,Watford,Everton,1,0,0.6,0.8
28,Crystal Palace,Tottenham,0,1,0.3,1.4
28,Manchester Utd,Chelsea,2,1,1.4,1.3
28,Arsenal,Manchester City,0,3,1.3,1.5
29,Burnley,Everton,2,1,1.6,1
29,Tottenham,Huddersfield,2,0,1.8,0.1
29,Watford,West Brom,1,0,1.4,1.1
29,Swansea City,West Ham,4,1,2,0.7
29,Leicester City,Bournemouth,1,1,2.4,1.5
29,Southampton,Stoke City,0,0,1,0.7
29,Liverpool,Newcastle Utd,2,0,1.3,0.3
29,Brighton,Arsenal,2,1,0.9,1.3
29,Manchester City,Chelsea,1,0,0.7,0.2
29,Crystal Palace,Manchester Utd,2,3,1.2,1.7
30,Manchester Utd,Liverpool,2,1,0.6,0.8
30,Everton,Brighton,2,0,1.7,0.4
30,Newcastle Utd,Southampton,3,0,1.3,0.3
30,West Brom,Leicester City,1,4,0.3,2
30,West Ham,Burnley,0,3,0.9,1.2
30,Huddersfield,Swansea City,0,0,2.3,0
30,Chelsea,Crystal Palace,2,1,2.8,0.9
30,Arsenal,Watford,3,0,1.7,1.9
30,Bournemouth,Tottenham,1,4,0.8,1.9
30,Stoke City,Manchester City,0,2,0.3,1.6
31,Stoke City,Everton,1,2,0.9,2.2
31,Huddersfield,Crystal Palace,0,2,0.3,3.1
31,Bournemouth,West Brom,2,1,0.5,1.5
31,Liverpool,Watford,5,0,2.6,0.2
32,Crystal Palace,Liverpool,1,2,1.4,1.5
32,Newcastle Utd,Huddersfield,1,0,2.2,0.2
32,West Brom,Burnley,1,2,0.5,1.5
32,West Ham,Southampton,3,0,1.3,0.5
32,Brighton,Leicester City,0,2,2,1.2
32,Manchester Utd,Swansea City,2,0,1.9,0.2
