Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
9,Inter,Milan,1,0,1.7,0.7
9,Sampdoria,Sassuolo,0,0,0.7,0.3
10,Atalanta,Parma,3,0,2.3,1.4
10,Empoli,Juventus,1,2,0.6,1.8
10,Torino,Fiorentina,1,1,1,1.1
10,Sassuolo,Bologna,2,2,1.8,1.2
10,SPAL,Frosinone,0,3,0.7,0.6
10,Genoa,Udinese,2,2,1.8,0.8
10,Cagliari,Chievo,2,1,1.6,1.8
10,Milan,Sampdoria,3,2,1.8,0.6
10,Napoli,Roma,1,1,2.6,0.8
10,Lazio,Inter,0,3,1.1,1.5
1,Milan,Genoa,2,1,1.7,0.4
11,Napoli,Empoli,5,1,1.8,1.1
11,Inter,Genoa,5,0,2.8,0.3
11,Fiorentina,Roma,1,1,1.3,1.9
11,Juventus,Cagliari,3,1,1.3,0.7
11,Lazio,SPAL,4,1,2.3,1
11,Sampdoria,Torino,1,4,1.3,2.9
11,Parma,Frosinone,0,0,1,0.5
11,Chievo,Sassuolo,0,2,0.6,1
11,Bologna,Atalanta,1,2,1.8,2.1
11,Udinese,Milan,0,1,0.7,0.9
12,Frosinone,Fiorentina,1,1,0.4,1.5
12,Torino,Parma,1,2,1.9,1.7
12,SPAL,Cagliari,2,2,1.7,1
12,Genoa,Napoli,1,2,0.6,2.2
12,Atalanta,Inter,4,1,2.8,1.2
12,Empoli,Udinese,2,1,1.4,3.5
12,Roma,Sampdoria,4,1,2.3,1
12,Chievo,Bologna,2,2,2.1,1.7
12,Sassuolo,Lazio,1,1,0.8,1.5
12,Milan,Juventus,0,2,0.8,1.2
13,Udinese,Roma,1,0,1.1,1.7
13,Juventus,SPAL,2,0,1.4,0.3
13,Inter,Frosinone,3,0,2.4,0.3
13,Parma,Sassuolo,2,1,1.8,1.9
13,Empoli,Atalanta,3,2,1.7,1.5
13,Bologna,Fiorentina,0,0,0.3,1.4
13,Napoli,Chievo,0,0,1.6,0.5
13,Lazio,Milan,1,1,1.6,0.5
13,Genoa,Sampdoria,1,1,2.3,0.6
13,Cagliari,Torino,0,0,0.2,1
14,SPAL,Empoli,2,2,0.7,2.1
14,Fiorentina,Juventus,0,3,1.3,1.8
14,Sampdoria,Bologna,4,1,1.5,1.4
14,Milan,Parma,2,1,1.6,0.9
14,Torino,Genoa,2,1,2.4,1.2
14,Sassuolo,Udinese,0,0,1.8,0.2
14,Frosinone,Cagliari,1,1,1.8,1.9
14,Chievo,Lazio,1,1,0.9,1.6
14,Roma,Inter,2,2,1.6,2.3
14,Atalanta,Napoli,1,2,1,2.1
15,Juventus,Inter,1,0,1.5,1.2
15,Napoli,Frosinone,4,0,2.2,0.3
15,Cagliari,Roma,2,2,2.1,1.5
15,Lazio,Sampdoria,2,2,3.4,0.9
15,Sassuolo,Fiorentina,3,3,1.5,2.4
15,Empoli,Bologna,2,1,1.6,1.9
15,Parma,Chievo,1,1,1.3,1.5
15,Udinese,Atalanta,1,3,0.9,2.3
15,Genoa,SPAL,1,1,1.3,2.6
15,Milan,Torino,0,0,2,1.2
16,Inter,Udinese,1,0,2,0.4
16,Torino,Juventus,0,1,0.4,1.5
16,SPAL,Chievo,0,0,0.6,0.7
16,Frosinone,Sassuolo,0,2,0.4,1.4
16,Sampdoria,Parma,2,0,1.4,0.5
16,Fiorentina,Empoli,3,1,1.7,1.2
16,Cagliari,Napoli,0,1,0.5,1.6
16,Roma,Genoa,3,2,2,2.2
16,Atalanta,Lazio,1,0,0.4,1
16,Bologna,Milan,0,0,0.4,0.7
