Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
5,Freiburg,Schalke 04,1,0,1.5,0.8
5,Hannover 96,Hoffenheim,1,3,1.7,1.9
5,Düsseldorf,Leverkusen,1,2,2.2,1.7
5,Mainz 05,Wolfsburg,0,0,0.4,1
5,RB Leipzig,Stuttgart,2,0,3.2,0.7
5,M'Gladbach,Eint Frankfurt,3,1,1.6,1.3
5,Dortmund,Nürnberg,7,0,2.1,0.1
6,Hertha BSC,Bayern Munich,2,0,1.2,2
6,Hoffenheim,RB Leipzig,1,2,1.8,1.6
6,Stuttgart,Werder Bremen,2,1,2.3,1.5
6,Schalke 04,Mainz 05,1,0,1,0.9
6,Nürnberg,Düsseldorf,3,0,2.2,1.1
6,Wolfsburg,M'Gladbach,2,2,1.3,0.7
6,Leverkusen,Dortmund,2,4,1.1,2.7
6,Eint Frankfurt,Hannover 96,4,1,2.1,0.4
6,Augsburg,Freiburg,4,1,3.8,1.5
7,Werder Bremen,Wolfsburg,2,0,1,0.4
7,Dortmund,Augsburg,4,3,1.9,2.2
7,Mainz 05,Hertha BSC,0,0,2.1,1.5
7,Düsseldorf,Schalke 04,0,2,0.6,1.6
7,Hannover 96,Stuttgart,3,1,1.7,0.9
7,Bayern Munich,M'Gladbach,0,3,1.6,0.5
7,Freiburg,Leverkusen,0,0,0.3,1.1
7,Hoffenheim,Eint Frankfurt,1,2,2.2,1
7,RB Leipzig,Nürnberg,6,0,2.1,0.2
8,Eint Frankfurt,Düsseldorf,7,1,3.7,1
8,Nürnberg,Hoffenheim,1,3,1.3,2.2
8,Stuttgart,Dortmund,0,4,1,1.2
8,Leverkusen,Hannover 96,2,2,2.2,0.6
8,Augsburg,RB Leipzig,0,0,0.2,0.9
8,Wolfsburg,Bayern Munich,1,3,1.4,2.7
8,Schalke 04,Werder Bremen,0,2,1.4,0.4
8,Hertha BSC,Freiburg,1,1,1.1,0.7
8,M'Gladbach,Mainz 05,4,0,2.6,1.2
9,Freiburg,M'Gladbach,3,1,1.5,1.2
9,Hannover 96,Augsburg,1,2,0.8,1.6
9,Dortmund,Hertha BSC,2,2,3.7,2.1
9,Mainz 05,Bayern Munich,1,2,0.3,2.2
9,Düsseldorf,Wolfsburg,0,3,0.6,2
9,Hoffenheim,Stuttgart,4,0,2.9,0.5
9,Nürnberg,Eint Frankfurt,1,1,1,1.6
9,RB Leipzig,Schalke 04,0,0,0.7,0.5
9,Werder Bremen,Leverkusen,2,6,1.9,3.9
10,Stuttgart,Eint Frankfurt,0,3,0.9,3.1
10,Schalke 04,Hannover 96,3,1,2.9,1.9
10,Bayern Munich,Freiburg,1,1,2,0.3
10,Leverkusen,Hoffenheim,1,4,1.6,1.6
10,Wolfsburg,Dortmund,0,1,0.6,1.4
10,Augsburg,Nürnberg,2,2,1.7,1.4
10,Hertha BSC,RB Leipzig,0,3,1.4,3.7
10,M'Gladbach,Düsseldorf,3,0,3.5,0.8
10,Mainz 05,Werder Bremen,2,1,0.8,1.6
11,Hannover 96,Wolfsburg,2,1,2.1,3.2
11,Nürnberg,Stuttgart,0,2,0.5,1.5
11,Freiburg,Mainz 05,1,3,1.3,0.9
11,Werder Bremen,M'Gladbach,1,3,1.6,1.8
11,Hoffenheim,Augsburg,2,1,2.3,1.3
11,Düsseldorf,Hertha BSC,4,1,2.7,0.8
11,Dortmund,Bayern Munich,3,2,2.5,2.1
11,RB Leipzig,Leverkusen,3,0,2.2,0.4
11,Eint Frankfurt,Schalke 04,3,0,1.7,0.8
12,Leverkusen,Stuttgart,2,0,2.9,0.6
12,Wolfsburg,RB Leipzig,1,0,1.7,0.5
12,Augsburg,Eint Frankfurt,1,3,2.2,3.5
12,Mainz 05,Dortmund,1,2,1,1.2
12,Bayern Munich,Düsseldorf,3,3,2.6,1.5
12,Hertha BSC,Hoffenheim,3,3,3.4,1.6
12,Schalke 04,Nürnberg,5,2,2.7,2.1
12,Freiburg,Werder Bremen,1,1,2.8,2.4
12,M'Gladbach,Hannover 96,4,1,1.8,0.5
13,Düsseldorf,Mainz 05,0,1,1.6,0.9
13,Werder Bremen,Bayern Munich,1,2,0.5,2.4
13,Hannover 96,Hertha BSC,0,2,1.1,1.3
13,Stuttgart,Augsburg,1,0,0.6,1.1
13,Dortmund,Freiburg,2,0,2.5,0.1
13,Hoffenheim,Schalke 04,1,1,2.2,2.2
13,RB Leipzig,M'Gladbach,2,0,2.1,0.6
13,Eint Frankfurt,Wolfsburg,1,2,1.7,1.1
13,Nürnberg,Leverkusen,1,1,0.7,1.6
14,Werder Bremen,Düsseldorf,3,1,1.9,1.2
14,Freiburg,RB Leipzig,3,0,2,1
14,Schalke 04,Dortmund,1,2,1.4,1.5
14,Bayern Munich,Nürnberg,3,0,2.1,0.2
14,Wolfsburg,Hoffenheim,2,2,0.5,2
14,Leverkusen,Augsburg,1,0,1.7,0.8
