HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Rayo Vallecano,Eibar,2,1,H,13,3,7,1,9,15,5,4,0,1,0,0,1.3,5.5,9.5
Valladolid,Sevilla,2,0,H,15,12,5,3,17,10,4,7,2,3,0,0,4.2,3.5,1.9
Alavés,Leganés,1,1,D,6,9,1,5,17,15,3,3,6,4,0,0,2.5,3,3.1
Betis,Villarreal,2,1,H,17,10,7,4,15,14,4,3,4,4,0,0,2.2,3.4,3.3
Celta Vigo,Real Sociedad,3,1,H,11,14,4,7,16,11,2,7,2,1,0,1,2.4,3.3,3
Getafe,Athletic Club,1,0,H,6,9,2,1,16,18,1,2,2,1,0,0,2.3,3,3.5
Levante,Huesca,2,2,D,14,17,8,4,22,12,9,1,2,4,0,0,1.95,3.6,3.8
Valencia,Real Madrid,0,2,A,10,16,5,4,17,12,6,7,3,3,0,0,3.5,3.4,2.05
Atlético Madrid,Celta Vigo,2,0,H,11,10,5,3,9,15,1,2,2,2,0,0,1.36,4.75,9
Espanyol,Alavés,2,1,H,6,14,2,3,12,17,4,8,3,2,0,0,1.8,3.5,4.75
Huesca,Barcelona,0,0,D,6,10,1,2,18,13,6,5,1,2,0,0,4.75,4.2,1.65
Real Madrid,Betis,3,2,H,11,12,5,7,18,8,5,4,6,3,0,0,1.66,4,5
Athletic Club,Valladolid,3,2,H,15,8,9,4,10,16,3,6,1,3,0,1,1.6,4,5.5
Girona,Villarreal,0,1,A,14,17,5,6,12,11,9,5,2,5,0,0,2.5,3.25,2.8
Real Sociedad,Eibar,1,1,D,3,17,2,2,15,18,0,3,2,2,0,0,2.2,3.5,3.25
Sevilla,Levante,3,1,H,23,6,6,3,12,19,8,3,2,2,0,0,1.5,4.75,5.5
Valencia,Getafe,2,2,D,8,8,4,3,22,18,5,3,4,4,0,1,3.2,2.9,2.55
