HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
M'Gladbach,RB Leipzig,0,1,A,10,16,3,6,13,10,1,7,2,2,0,0,2.5,3.39,2.79
Schalke 04,Werder Bremen,1,2,A,15,12,6,7,15,16,3,2,3,1,1,0,1.75,3.79,4.75
Wolfsburg,Stuttgart,1,1,D,15,13,5,2,12,10,3,6,0,2,0,0,2.25,3.29,3.29
Augsburg,Eint Frankfurt,3,0,H,15,8,7,2,12,11,1,2,1,1,0,0,2.35,3.29,3.1
Hannover 96,Hertha BSC,1,1,D,16,14,3,7,14,18,8,3,2,1,1,0,2.25,3.29,3.29
RB Leipzig,Augsburg,2,0,H,23,12,9,2,12,17,6,7,0,2,0,0,1.7,3.79,5
Bayern Munich,Schalke 04,2,1,H,13,9,5,3,15,15,4,3,2,2,0,0,1.28,6,9.5
Dortmund,Hannover 96,2,0,H,10,8,3,2,13,12,2,4,0,1,0,0,1.33,5.25,9
Eint Frankfurt,Freiburg,4,2,H,13,8,8,4,19,18,4,1,2,1,0,0,1.9,3.5,4.2
Hertha BSC,Hamburger SV,2,1,H,13,12,6,4,13,7,3,4,0,2,0,0,2.1,3.5,3.5
Köln,Mainz 05,4,2,H,24,6,9,2,13,19,5,2,4,3,0,0,1.61,4,5.25
Leverkusen,Hoffenheim,0,2,A,15,9,6,4,18,16,9,4,2,2,0,0,1.53,4.33,6
Stuttgart,M'Gladbach,1,0,H,7,12,2,4,11,11,1,8,1,0,0,0,2.5,3.39,2.79
Werder Bremen,Wolfsburg,3,1,H,12,13,5,5,16,11,6,8,1,5,0,0,2.14,3.39,3.39
Hoffenheim,Mainz 05,0,2,A,9,13,1,7,15,16,6,4,0,3,0,0,2,3.39,4
Freiburg,Hertha BSC,1,1,D,5,15,1,7,15,18,5,4,2,3,0,0,2.29,3.39,3.1
Hamburger SV,Werder Bremen,1,0,H,7,9,3,3,13,16,0,5,2,2,0,0,2.5,3.29,2.89
Hannover 96,Leverkusen,1,2,A,11,16,3,5,15,9,4,3,2,2,0,0,3.79,3.5,2
Schalke 04,Köln,2,1,H,9,12,6,4,18,18,4,3,2,6,0,0,2.1,3.5,3.5
Wolfsburg,Bayern Munich,1,2,A,3,18,1,5,14,15,4,8,4,3,0,0,8.5,5,1.36
Augsburg,Stuttgart,0,1,A,8,16,2,6,16,16,4,7,4,1,0,0,2.04,3.39,3.75
M'Gladbach,Dortmund,0,1,A,28,8,11,2,15,16,6,5,3,3,0,0,3,3.6,2.29
Eint Frankfurt,RB Leipzig,2,1,H,12,10,3,2,18,13,7,5,6,2,0,0,2.5,3.39,2.79
Mainz 05,Wolfsburg,1,1,D,13,8,4,2,12,13,2,3,0,0,0,0,2.14,3.39,3.5
Bayern Munich,Hoffenheim,0,0,D,19,5,6,3,11,12,9,2,0,0,0,0,1.16,7.5,17
Hertha BSC,M'Gladbach,0,1,A,20,15,5,4,14,11,10,6,2,1,0,0,2.62,3.39,2.7
Köln,Hamburger SV,1,1,D,12,7,4,3,12,19,4,2,1,1,0,0,1.66,4.2,4.75
Stuttgart,Eint Frankfurt,1,0,H,13,7,5,0,16,15,4,3,2,2,0,0,2.37,3.2,3.25
