HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Strasbourg,Paris S-G,1,1,D,4,20,2,5,12,14,3,11,2,3,0,0,8,5.75,1.33
Guingamp,Amiens,1,2,A,16,11,2,3,16,15,12,0,1,4,1,0,2,3.2,4.2
Rennes,Dijon,2,0,H,21,7,10,3,10,16,8,4,1,2,0,0,1.57,3.8,6.5
Lille,Reims,1,1,D,12,8,3,3,14,24,5,4,1,3,0,0,1.8,3.4,5
Strasbourg,Caen,2,2,D,10,5,4,3,11,13,8,4,1,1,0,0,1.75,3.5,5.25
Reims,Strasbourg,2,1,H,12,5,5,3,19,16,6,3,1,1,0,0,2.25,3.1,3.5
Lyon,Monaco,3,0,H,21,4,11,1,14,9,7,1,1,2,0,1,1.44,4.75,7
Nice,Saint-Étienne,1,1,D,23,11,7,4,6,20,7,6,2,3,1,1,2.25,3.1,3.5
Nîmes,Lille,2,3,A,17,7,6,6,21,12,6,2,3,3,0,1,2.5,3,3.2
Caen,Toulouse,2,1,H,13,7,7,2,15,27,2,3,2,2,0,0,2.5,3.1,3.1
Angers,Marseille,1,1,D,15,14,4,2,9,14,6,4,1,3,0,0,3.75,3.4,2.04
Lille,Toulouse,1,2,A,17,6,5,3,11,18,6,7,3,4,0,0,1.72,3.5,5.5
Monaco,Guingamp,0,2,A,5,9,2,3,19,15,8,6,2,4,0,0,1.9,3.5,4.33
Montpellier,Lyon,1,1,D,13,10,4,3,20,11,6,2,2,1,0,0,3.3,3.3,2.25
Paris S-G,Nantes,1,0,H,23,11,3,2,7,11,9,1,2,0,0,0,1.14,9,15
Reims,Caen,2,2,D,19,7,11,2,9,16,10,2,3,3,0,0,1.8,3.5,4.75
Rennes,Nîmes,4,0,H,13,18,7,6,11,13,2,7,1,2,0,0,1.83,3.5,4.5
Saint-Étienne,Dijon,3,0,H,18,7,9,2,13,17,5,3,4,3,0,0,1.53,4.33,6
Strasbourg,Nice,2,0,H,11,9,5,4,15,12,2,4,2,0,0,0,2.37,3.2,3.1
Bordeaux,Amiens,1,1,D,9,8,4,4,10,10,6,6,0,2,0,0,1.61,3.75,6
Amiens,Angers,0,0,D,21,7,5,2,13,7,4,7,0,1,0,0,3.2,3,2.4
Nantes,Montpellier,2,0,H,16,9,5,2,17,9,4,3,1,2,0,1,2.6,3.1,2.9
Caen,Lille,1,3,A,9,12,3,7,14,18,4,2,3,1,0,1,3.8,3.25,2.1
Lyon,Reims,1,1,D,15,9,5,5,14,7,8,0,0,1,0,0,1.45,4.5,7.5
Amiens,Paris S-G,0,3,A,4,20,1,9,16,16,1,8,3,0,1,0,17,7.5,1.16
Guingamp,Saint-Étienne,0,1,A,11,4,2,2,10,12,9,4,0,1,0,0,2.87,3.2,2.5
Nice,Bordeaux,1,0,H,9,18,3,4,17,17,5,5,2,3,0,0,2.2,3.2,3.6
Dijon,Montpellier,1,1,D,13,13,7,6,21,14,3,7,2,0,0,0,3.25,3.3,2.3
Marseille,Monaco,1,1,D,14,8,3,3,12,10,6,3,2,1,0,0,1.57,4,6
Nantes,Rennes,0,1,A,24,6,3,1,13,16,4,3,5,3,0,0,2.55,3.3,2.8
Toulouse,Strasbourg,1,2,A,17,12,4,5,9,8,7,4,1,1,0,0,2.5,3.2,3
Angers,Bordeaux,1,2,A,19,9,8,4,10,9,9,7,1,0,0,0,2.5,3,3
Guingamp,Rennes,2,1,H,7,17,2,3,10,14,7,4,2,3,0,0,2.87,3.2,2.55
Monaco,Nice,1,1,D,13,6,5,2,13,9,10,2,2,2,0,1,2.3,3.2,3.3
Nîmes,Nantes,1,0,H,10,11,2,3,13,11,5,4,0,0,0,0,2.37,3.25,3.1
Saint-Étienne,Marseille,2,1,H,11,15,5,4,13,14,4,2,0,0,0,0,2.25,3.5,3.1
Toulouse,Lyon,2,2,D,6,22,4,5,12,10,4,10,4,3,0,0,5.25,3.75,1.66
Lille,Amiens,2,1,H,17,2,3,1,8,18,4,3,0,3,0,0,1.65,3.6,5.75
Monaco,Strasbourg,1,5,A,9,16,5,6,13,9,3,7,4,2,1,1,1.9,3.5,4
Nîmes,Toulouse,0,1,A,18,11,6,4,17,13,8,2,3,1,0,0,1.95,3.6,3.8
Paris S-G,Guingamp,9,0,H,26,2,12,0,11,7,8,1,1,0,0,0,1.1,10,26
Reims,Nice,1,1,D,10,9,2,5,16,10,2,7,0,3,0,0,2.25,3,3.7
Angers,Nantes,1,0,H,4,13,3,4,9,20,3,6,2,3,0,0,2.45,3.1,3.1
Bordeaux,Dijon,1,0,H,13,10,5,3,12,13,2,2,3,3,0,1,1.66,3.6,5.75
Caen,Marseille,0,1,A,9,9,4,1,19,16,5,4,6,3,1,0,4.33,3.6,1.85
Rennes,Montpellier,0,0,D,16,13,1,3,13,18,6,0,2,2,0,0,2.05,3.4,3.8
Saint-Étienne,Lyon,1,2,A,15,23,9,7,18,7,4,4,2,2,0,0,3.1,3.5,2.25
Nîmes,Angers,3,1,H,15,11,6,4,12,9,9,2,1,2,0,0,2.05,3.4,3.8
Marseille,Lille,1,2,A,15,9,5,3,14,7,9,6,5,3,1,0,2.3,3.25,3.2
Dijon,Monaco,2,0,H,13,18,7,5,15,9,3,5,3,2,0,1,2.9,3.3,2.37
Guingamp,Reims,0,1,A,6,7,2,3,12,13,4,4,1,2,1,0,2.5,3.1,3.1
Nice,Nîmes,2,0,H,15,14,7,7,10,13,6,4,1,3,0,0,2.1,3.2,3.75
Strasbourg,Bordeaux,1,0,H,10,11,5,1,19,18,5,4,2,2,0,0,2.4,3.2,3.1
Amiens,Lyon,0,1,A,12,18,2,11,17,15,3,4,1,3,0,0,6.5,4.2,1.53
Montpellier,Caen,2,0,H,11,9,6,1,15,17,4,3,1,1,0,0,1.72,3.5,5.5
Paris S-G,Rennes,4,1,H,16,10,7,3,8,7,2,1,1,2,0,0,1.22,6.5,12
Toulouse,Angers,0,0,D,14,13,4,3,13,11,4,5,1,1,0,0,2.2,3.2,3.5
Nantes,Saint-Étienne,1,1,D,13,10,3,4,12,12,7,6,2,1,1,1,2.75,3.1,2.75
Lille,Nice,4,0,H,15,5,7,2,16,7,4,1,2,0,0,1,1.8,3.6,4.75
Angers,Dijon,1,0,H,12,7,5,2,14,11,4,8,0,0,0,0,2,3.3,4
Monaco,Toulouse,2,1,H,13,10,3,3,11,16,6,5,2,3,0,0,1.72,3.6,5.25
Reims,Marseille,2,1,H,9,13,4,5,11,15,6,5,3,0,0,0,2.7,3.25,2.7
Rennes,Amiens,1,0,H,15,8,4,1,11,12,7,4,1,3,0,0,1.6,3.75,6.5
Lyon,Paris S-G,2,1,H,14,16,10,9,10,12,6,8,1,2,0,0,3.8,3.8,1.85
Nîmes,Montpellier,1,1,D,12,11,5,4,20,23,5,3,2,1,0,0,2.6,3.1,2.9
Marseille,Bordeaux,1,0,H,24,6,7,1,18,13,4,2,3,2,0,1,2.25,3.2,3.4
Dijon,Marseille,1,2,A,10,18,4,8,11,11,3,12,3,3,0,0,4.33,3.5,1.85
Amiens,Caen,1,0,H,10,11,1,4,12,14,4,2,0,0,0,0,2.1,3.1,4
Paris S-G,Bordeaux,1,0,H,10,8,3,3,14,21,4,8,3,3,0,0,1.25,6.5,11
Strasbourg,Angers,1,2,A,16,8,7,3,14,13,5,3,2,3,0,0,2.05,3.2,4
Guingamp,Lille,0,2,A,7,9,1,3,15,11,7,4,2,1,0,0,3.4,3.3,2.2
Montpellier,Monaco,2,2,D,12,10,3,5,16,20,5,3,1,6,0,1,2.45,3.1,3.1
Nantes,Nîmes,2,4,A,15,13,4,4,10,11,9,4,1,2,0,0,1.9,3.3,4.2
Nice,Lyon,1,0,H,11,23,4,5,7,13,4,14,2,2,0,0,4.75,4,1.7
Rennes,Saint-Étienne,3,0,H,15,15,5,3,7,8,6,8,0,4,0,1,2.15,3.4,3.4
Toulouse,Reims,1,1,D,9,9,3,3,18,13,3,3,2,4,0,0,2.75,3,2.8
Caen,Nantes,0,1,A,14,13,1,4,17,11,4,8,4,3,0,1,3,3.1,2.5
Saint-Étienne,Strasbourg,2,1,H,11,9,6,2,11,28,3,4,0,5,0,0,1.95,3.3,4
Lyon,Guingamp,2,1,H,18,14,9,3,5,10,7,2,2,1,0,0,1.3,5.25,10
Nîmes,Dijon,2,0,H,14,12,6,2,10,17,5,4,2,5,0,1,1.75,3.8,4.5
Angers,Nice,3,0,H,12,13,4,4,12,8,8,5,0,2,0,0,2.4,3,3.3
Marseille,Amiens,2,0,H,16,10,5,2,15,15,3,6,1,0,0,0,1.4,4.5,9
Monaco,Nantes,1,0,H,11,6,6,2,13,22,2,3,4,2,0,0,1.8,3.6,4.5
Bordeaux,Toulouse,2,1,H,8,20,4,5,14,20,7,5,2,2,0,0,1.83,3.5,4.75
Caen,Strasbourg,0,0,D,11,15,2,3,6,13,8,6,0,3,0,0,3.5,3.1,2.3
Lille,Montpellier,0,0,D,12,8,3,2,10,12,1,4,3,3,0,0,1.85,3.3,4.75
Reims,Rennes,2,0,H,7,10,4,1,13,10,2,4,1,1,0,0,2.5,3.1,3.1
Saint-Étienne,Paris S-G,0,1,A,11,11,2,3,8,18,4,5,1,5,0,0,5.25,4.33,1.6
Bordeaux,Guingamp,0,0,D,11,13,4,1,7,12,8,7,2,2,0,0,1.9,3.4,4.33
Paris S-G,Montpellier,5,1,H,18,15,9,7,11,11,8,3,2,1,0,0,1.25,6,12
Dijon,Saint-Étienne,0,1,A,11,16,2,6,13,7,4,5,0,0,0,0,3.5,3.3,2.15
Strasbourg,Lille,1,1,D,9,15,2,5,16,13,6,2,1,1,0,0,2.75,3.1,2.7
Amiens,Nice,1,0,H,11,7,4,0,13,15,4,4,0,2,0,0,2.7,2.9,3
Guingamp,Angers,1,0,H,8,8,3,1,11,12,6,2,2,2,0,0,2.5,3.2,3
