HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Frosinone,Udinese,1,3,A,13,11,5,8,15,17,14,10,2,3,0,0,5,3.6,1.75
Roma,Juventus,2,0,H,9,5,4,4,8,7,3,3,3,1,0,0,2.5,3.5,2.75
Sampdoria,Empoli,1,2,A,11,5,7,4,10,15,8,2,2,1,0,0,2.37,3.6,2.87
SPAL,Napoli,1,2,A,10,17,5,8,11,20,1,12,2,1,0,0,5.75,4.33,1.53
Torino,Sassuolo,3,2,H,17,7,11,3,15,17,11,1,1,5,0,1,1.53,4.5,5.75
Bologna,Parma,4,1,H,15,3,10,1,9,15,13,3,1,6,0,1,1.83,3.25,5
Inter,Chievo,2,0,H,16,3,11,0,10,17,17,0,2,3,0,1,1.14,8,19
Genoa,Cagliari,1,1,D,16,4,9,3,13,21,11,3,2,1,1,0,1.55,4,6.5
Sassuolo,Roma,0,0,D,9,17,3,6,10,10,5,5,2,4,0,0,5.75,5,1.45
Udinese,SPAL,3,2,H,10,12,4,5,17,13,8,6,4,4,0,0,1.53,4.2,6
Chievo,Sampdoria,0,0,D,4,9,1,6,13,9,4,7,3,0,1,0,3.8,3.8,1.9
Empoli,Torino,4,1,H,11,10,9,6,12,19,7,3,1,1,0,0,2.55,3.5,2.62
Juventus,Atalanta,1,1,D,11,11,4,7,15,14,5,8,3,1,1,0,2.45,3,3.25
Milan,Frosinone,2,0,H,9,6,3,2,13,7,5,7,1,0,0,0,1.14,9,17
Napoli,Inter,4,1,H,14,10,6,7,8,10,3,12,3,1,0,0,2.45,3.5,2.75
Parma,Fiorentina,1,0,H,9,12,5,6,15,22,3,7,0,1,0,0,3.1,3.2,2.37
Lazio,Bologna,3,3,D,10,13,5,6,11,11,4,6,2,1,0,0,2.1,3.25,3.8
Bologna,Napoli,3,2,H,10,15,5,8,11,8,5,8,0,1,0,0,4.2,4.2,1.75
Frosinone,Chievo,0,0,D,10,2,5,2,15,18,8,2,2,2,0,0,2.2,3.8,3
Atalanta,Sassuolo,3,1,H,13,4,5,3,10,15,7,4,2,4,0,2,1.2,7,11
Cagliari,Udinese,1,2,A,12,9,5,5,17,12,12,3,2,2,0,0,2.25,3.5,3
Fiorentina,Genoa,0,0,D,5,2,5,1,12,9,4,1,1,2,0,0,2.37,2.4,4.33
Inter,Empoli,2,1,H,20,9,15,5,11,9,8,2,4,2,1,1,1.36,5,8
Roma,Parma,2,1,H,16,9,8,5,13,8,13,8,2,1,0,0,1.18,7,13
Sampdoria,Juventus,2,0,H,10,6,3,1,6,12,7,6,0,2,0,0,3.8,3.8,1.85
SPAL,Milan,2,3,A,7,16,4,8,17,13,8,4,2,2,0,0,6.5,4.75,1.44
Torino,Lazio,3,1,H,9,9,7,4,9,10,5,5,0,1,0,0,2.15,3.75,3
