HomeTeam,AwayTeam,HomeGoals,AwayGoals,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A,B365A
Roma,Crotone,1,0,H,20,3,4,2,8,9,10,1,0,1,0,0,1.16,8,15
Sassuolo,Udinese,0,1,A,11,8,3,2,15,19,6,3,2,3,0,0,2,3.5,3.75
Milan,Juventus,0,2,A,11,9,4,4,21,10,5,6,2,0,0,0,4.2,3.5,1.9
Roma,Bologna,1,0,H,15,10,3,2,10,13,7,5,1,4,0,0,1.28,5.75,10
Benevento,Lazio,1,5,A,19,12,6,9,12,10,2,6,1,1,0,0,11,5.5,1.28
Crotone,Fiorentina,2,1,H,11,17,5,3,19,17,3,5,3,3,0,0,5.5,3.75,1.64
Napoli,Sassuolo,3,1,H,26,8,9,1,14,13,6,5,2,2,0,0,1.14,9,15
Sampdoria,Chievo,4,1,H,15,13,7,6,9,11,8,6,2,3,0,0,1.83,3.6,4.5
SPAL,Genoa,1,0,H,7,13,3,2,14,24,4,5,4,3,0,0,3.1,3.1,2.5
Torino,Cagliari,2,1,H,19,7,6,3,9,19,7,6,4,3,0,0,1.6,4.33,5.25
Udinese,Atalanta,2,1,H,7,7,4,2,15,15,5,7,0,2,0,0,3.6,3.39,2.1
Hellas Verona,Inter,1,2,A,10,17,2,4,12,9,4,7,4,2,0,0,7.5,5,1.39
Bologna,Crotone,2,3,A,15,10,5,6,14,14,5,2,2,3,0,0,1.8,3.5,4.75
Genoa,Sampdoria,0,2,A,14,11,2,5,22,8,5,2,4,2,0,0,3,3.1,2.54
Atalanta,SPAL,1,1,D,9,11,3,3,14,13,3,3,0,2,1,0,1.3,5.25,10
Cagliari,Hellas Verona,2,1,H,22,9,9,2,11,15,8,2,2,4,0,0,1.9,3.29,4.5
Chievo,Napoli,0,0,D,3,19,1,5,7,7,2,11,1,3,0,0,7.5,5,1.39
Fiorentina,Roma,2,4,A,20,21,6,10,15,10,6,9,1,1,0,0,3,3.5,2.29
Inter,Torino,1,1,D,20,7,5,3,19,12,8,3,3,5,0,0,1.5,4.33,6.5
Juventus,Benevento,2,1,H,27,3,8,1,15,13,8,2,3,3,0,0,1.06,13,34
Sassuolo,Milan,0,2,A,6,14,1,10,20,15,7,10,2,3,0,0,3.75,3.39,2.04
Napoli,Milan,2,1,H,16,13,10,3,17,7,3,1,2,1,0,0,1.44,4.59,7
Roma,Lazio,2,1,H,16,12,7,2,11,17,6,7,2,4,0,0,2.1,3.5,3.39
Benevento,Sassuolo,1,2,A,13,15,6,5,26,11,6,5,4,1,1,0,3.39,3.6,2.04
Crotone,Genoa,0,1,A,11,10,5,7,17,15,5,2,1,3,0,0,3.1,3.2,2.45
Inter,Atalanta,2,0,H,8,8,4,1,10,13,1,2,0,2,0,0,1.75,3.75,4.75
Sampdoria,Juventus,3,2,H,9,19,5,4,12,15,3,4,4,3,0,0,7,4,1.53
SPAL,Fiorentina,1,1,D,7,20,1,5,10,17,1,8,4,3,1,0,3.79,3.6,1.95
Torino,Chievo,1,1,D,19,12,5,4,9,15,5,1,1,1,0,1,1.83,3.6,4.5
Udinese,Cagliari,0,1,A,14,12,5,4,9,11,6,4,1,0,1,0,1.95,3.6,3.79
Hellas Verona,Bologna,2,3,A,17,12,5,5,11,11,6,4,2,1,0,0,2.87,3.2,2.6
Bologna,Sampdoria,3,0,H,11,20,6,7,5,13,5,12,2,2,1,0,2.6,3.29,2.75
Cagliari,Inter,1,3,A,15,10,4,4,12,15,7,5,2,2,0,0,5,4,1.66
Chievo,SPAL,2,1,H,12,14,3,5,23,24,2,8,0,1,0,0,1.9,3.5,4.2
Sassuolo,Hellas Verona,0,2,A,20,9,3,6,10,15,10,6,0,3,0,1,1.66,4,5
Genoa,Roma,1,1,D,9,14,4,4,15,16,1,4,1,3,0,1,5,3.75,1.72
Juventus,Crotone,3,0,H,25,4,10,1,8,9,7,0,2,2,0,0,1.14,8,19
Lazio,Fiorentina,1,1,D,13,16,7,8,16,8,6,5,2,2,0,0,1.64,4.2,5
Milan,Torino,0,0,D,17,8,6,2,15,20,5,4,0,2,0,0,1.75,3.75,4.75
Udinese,Napoli,0,1,A,10,9,2,4,14,7,3,7,5,1,0,0,7.5,5.5,1.36
Atalanta,Benevento,1,0,H,14,6,4,2,11,16,9,3,1,2,0,0,1.22,6,12
Napoli,Juventus,0,1,A,21,7,6,4,9,5,10,3,2,1,0,0,2,3.39,4
Roma,SPAL,3,1,H,37,3,15,2,10,12,10,0,1,2,0,1,1.22,6.5,12
Torino,Atalanta,1,1,D,9,14,4,6,9,13,5,7,2,2,0,0,2.45,3.39,2.87
Benevento,Milan,2,2,D,17,12,6,7,16,12,4,3,3,5,0,1,9,5,1.36
Bologna,Cagliari,1,1,D,13,8,3,2,15,20,5,3,6,2,0,0,2,3.29,4
Fiorentina,Sassuolo,3,0,H,23,8,9,1,9,9,13,8,1,3,0,0,1.57,4,6
Inter,Chievo,5,0,H,37,7,13,4,11,4,18,2,1,0,0,0,1.39,4.75,8
Sampdoria,Lazio,1,2,A,16,14,3,3,10,12,5,6,0,1,0,0,3.6,3.6,2
Crotone,Udinese,0,3,A,9,15,2,6,8,11,7,7,0,0,0,0,2.87,3.1,2.62
Hellas Verona,Genoa,0,1,A,15,9,3,1,17,19,2,3,2,4,0,0,3.5,3.29,2.14
Cagliari,Sampdoria,2,2,D,14,16,6,9,15,11,6,4,3,0,0,0,2.6,3.39,2.7
Juventus,Inter,0,0,D,19,6,8,1,10,21,3,4,2,5,0,0,1.7,3.75,5.25
Chievo,Roma,0,0,D,9,24,1,8,10,8,1,13,1,2,0,0,5.5,4,1.61
Milan,Bologna,2,1,H,21,10,7,2,9,7,12,7,0,0,0,0,1.5,4.2,7
Napoli,Fiorentina,0,0,D,10,6,4,3,10,6,4,2,3,3,0,0,1.36,5.5,7.5
Sassuolo,Crotone,2,1,H,16,8,7,2,10,15,8,6,3,2,0,0,1.83,3.6,4.5
SPAL,Hellas Verona,2,2,D,19,16,10,8,14,15,8,6,3,2,0,0,2.04,3.5,3.6
Udinese,Benevento,2,0,H,9,20,2,5,16,15,3,9,1,2,0,0,1.5,4.2,7
Lazio,Torino,1,3,A,20,18,7,6,7,16,13,2,1,1,1,0,1.5,4.75,5.75
Genoa,Atalanta,1,2,A,15,13,4,7,14,20,7,5,3,2,0,0,3.1,3.29,2.37
Inter,Udinese,1,3,A,26,8,8,5,9,16,15,3,1,4,0,0,1.33,5.25,9
Roma,Cagliari,1,0,H,21,3,6,0,14,15,5,1,1,3,0,0,1.25,6,12
