Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
8,Nice,Paris S-G,0,3,0.3,2.5
8,Lyon,Nantes,1,1,2.7,1.3
8,Caen,Amiens,1,0,1.3,0.4
8,Strasbourg,Dijon,3,0,1,1.3
8,Angers,Guingamp,0,1,0.7,1.2
8,Reims,Bordeaux,0,0,0.5,0.2
8,Rennes,Toulouse,1,1,2.4,0.5
8,Montpellier,Nîmes,3,0,2.7,0.9
8,Lille,Marseille,3,0,2.9,0.6
9,Toulouse,Nice,1,1,1.2,1.2
9,Lille,Saint-Étienne,3,1,0.6,1.7
9,Amiens,Dijon,1,0,0.4,0.5
9,Nîmes,Reims,0,0,1.2,1.4
9,Guingamp,Montpellier,1,1,0.9,1
9,Angers,Strasbourg,2,2,2.3,1.2
9,Bordeaux,Nantes,3,0,1.5,0.9
9,Monaco,Rennes,1,2,0.5,1.5
9,Marseille,Caen,2,0,2.1,1
9,Paris S-G,Lyon,5,0,3.8,1.6
10,Lyon,Nîmes,2,0,2.2,1.4
10,Paris S-G,Amiens,5,0,1.7,0.6
10,Reims,Angers,1,1,1.2,1.8
10,Caen,Guingamp,0,0,0.4,0.9
10,Strasbourg,Monaco,2,1,1,1.4
10,Nantes,Toulouse,4,0,2.3,0.6
10,Dijon,Lille,1,2,1.7,1.7
10,Montpellier,Bordeaux,2,0,1.6,1.3
10,Saint-Étienne,Rennes,1,1,1.7,1.9
10,Nice,Marseille,0,1,0.9,0.6
11,Nîmes,Saint-Étienne,1,1,1.3,1.2
11,Angers,Lyon,1,2,0.9,1.7
11,Monaco,Dijon,2,2,1.3,0.6
11,Amiens,Nantes,1,2,1.2,1.7
11,Guingamp,Strasbourg,1,1,1.3,1.8
11,Toulouse,Montpellier,0,3,1.2,2.1
11,Lille,Caen,1,0,0.8,0.5
11,Rennes,Reims,0,2,0.8,0.2
11,Bordeaux,Nice,0,1,2.2,1.5
11,Marseille,Paris S-G,0,2,0.5,1.3
12,Paris S-G,Lille,2,1,2,0.9
12,Lyon,Bordeaux,1,1,0.4,1.2
12,Strasbourg,Toulouse,1,1,1.1,1.3
12,Nice,Amiens,1,0,1.1,1
12,Caen,Rennes,1,2,1.7,2.2
12,Reims,Monaco,1,0,1.3,0.4
12,Dijon,Nîmes,0,4,1.3,1.6
12,Nantes,Guingamp,5,0,2.3,0.2
12,Saint-Étienne,Angers,4,3,2.4,1.3
12,Montpellier,Marseille,3,0,1.2,0.8
13,Lille,Strasbourg,0,0,1.4,0.2
13,Guingamp,Lyon,2,4,1.3,1.2
13,Toulouse,Amiens,0,1,1.8,0.4
13,Angers,Montpellier,1,0,0.8,0.3
13,Saint-Étienne,Reims,2,0,1,0.9
13,Nîmes,Nice,0,1,1,0.9
13,Bordeaux,Caen,0,0,1.3,0.5
13,Rennes,Nantes,1,1,1.9,0.3
13,Marseille,Dijon,2,0,3,0.5
13,Monaco,Paris S-G,0,4,1.1,3.9
14,Lyon,Saint-Étienne,1,0,0.8,1.1
14,Paris S-G,Toulouse,1,0,1.4,0.5
14,Strasbourg,Nîmes,0,1,1.3,1.1
14,Caen,Monaco,0,1,0.9,0.9
14,Reims,Guingamp,2,1,0.7,1.3
14,Dijon,Bordeaux,0,0,0.7,0.5
14,Nantes,Angers,1,1,1.8,0.8
14,Montpellier,Rennes,2,2,2.2,1.8
14,Nice,Lille,2,0,0.9,0.3
14,Amiens,Marseille,1,3,1.2,2.4
15,Saint-Étienne,Nantes,3,0,1.9,0.4
15,Lille,Lyon,2,2,0.8,2.9
15,Nîmes,Amiens,3,0,1.6,1.1
15,Guingamp,Nice,0,0,0.8,0.5
15,Monaco,Montpellier,1,2,0.8,1.1
15,Angers,Caen,1,1,1.2,0.8
15,Toulouse,Dijon,2,2,0.6,2.1
15,Marseille,Reims,0,0,1.1,0.7
15,Rennes,Strasbourg,1,4,0.6,3.4
15,Bordeaux,Paris S-G,2,2,0.9,1.9
16,Amiens,Monaco,0,2,0.7,1.9
16,Nice,Angers,0,0,1.8,0.5
16,Montpellier,Lille,0,1,0.9,1.2
16,Lyon,Rennes,0,2,1.4,1.4
16,Caen,Nîmes,1,2,0.8,1.8
16,Dijon,Guingamp,2,1,0.4,1
